"Latest: Time (s)","Latest: Force (N)"
0,0.0572204589844
0.02,0.667572021484
0.04,0.667572021484
0.06,0.362396240234
0.08,0.0572204589844
0.1,0.362396240234
0.12,0.0572204589844
0.14,0.0572204589844
0.16,0.0572204589844
0.18,0.362396240234
0.2,1.88827514648
0.22,1.27792358398
0.24,1.27792358398
0.26,0.972747802734
0.28,0.362396240234
0.3,0.667572021484
0.32,0.972747802734
0.34,0.667572021484
0.36,0.972747802734
0.38,0.972747802734
0.4,0.972747802734
0.42,0.972747802734
0.44,0.972747802734
0.46,0.667572021484
0.48,0.972747802734
0.5,0.667572021484
0.52,0.667572021484
0.54,0.362396240234
0.56,0.972747802734
0.58,0.972747802734
0.6,0.667572021484
0.62,0.972747802734
0.64,0.972747802734
0.66,0.362396240234
0.68,0.972747802734
0.7,1.58309936523
0.72,1.27792358398
0.74,1.27792358398
0.76,0.972747802734
0.78,0.972747802734
0.8,0.972747802734
0.82,0.972747802734
0.84,0.667572021484
0.86,0.667572021484
0.88,1.27792358398
0.9,1.27792358398
0.92,1.58309936523
0.94,20.7138061523
0.96,17.6811218262
0.98,23.1552124023
1,36.2205505371
1.02,52.318572998
1.04,61.1305236816
1.06,68.1114196777
1.08,77.2285461426
1.1,81.4819335938
1.12,85.7353210449
1.14,88.7680053711
1.16,91.495513916
1.18,95.4437255859
1.2,99.1058349609
1.22,101.222991943
1.24,103.054046631
1.26,103.950500488
1.28,103.950500488
1.3,103.645324707
1.32,103.359222412
1.34,102.138519287
1.36,100.612640381
1.38,100.3074646
1.4,99.1058349609
1.42,96.0540771484
1.44,93.3265686035
1.46,88.7680053711
1.48,83.5990905762
1.5,78.1440734863
1.52,70.5337524414
1.54,60.8253479004
1.56,49.877166748
1.58,36.506652832
1.6,23.1552124023
1.62,12.5122070313
1.64,5.83648681641
1.66,2.49862670898
1.68,1.88827514648
1.7,0.972747802734
1.72,1.58309936523
1.74,1.58309936523
1.76,0.972747802734
1.78,1.58309936523
1.8,0.972747802734
1.82,1.27792358398
1.84,1.27792358398
1.86,1.27792358398
1.88,0.667572021484
1.9,1.58309936523
1.92,0.972747802734
1.94,1.27792358398
1.96,1.27792358398
1.98,1.27792358398
2,0.972747802734
2.02,1.27792358398
2.04,0.0572204589844
2.06,3.08990478516
2.08,-0.858306884766
2.1,1.88827514648
2.12,0.972747802734
2.14,0.667572021484
2.16,0.972747802734
2.18,0.667572021484
2.2,0.667572021484
2.22,0.972747802734
2.24,0.972747802734
2.26,0.972747802734
2.28,0.972747802734
2.3,0.362396240234
2.32,0.972747802734
2.34,1.58309936523
2.36,0.972747802734
2.38,0.667572021484
2.4,0.667572021484
2.42,0.667572021484
2.44,0.667572021484
2.46,0.667572021484
2.48,0.972747802734
2.5,1.27792358398
2.52,7.34329223633
2.54,41.3703918457
2.56,29.2205810547
2.58,38.0325317383
2.6,47.1496582031
2.62,51.4030456543
2.64,49.877166748
2.66,49.877166748
2.68,50.7926940918
2.7,53.825378418
2.72,56.8771362305
2.74,61.1305236816
2.76,64.4683837891
2.78,63.8580322266
2.8,62.0269775391
2.82,58.9942932129
2.84,52.318572998
2.86,45.6237792969
2.88,37.727355957
2.9,30.1361083984
2.92,21.6293334961
2.94,14.0380859375
2.96,7.95364379883
2.98,4.61578369141
3,2.78472900391
3.02,2.19345092773
3.04,1.27792358398
3.06,0.972747802734
3.08,0.972747802734
3.1,0.972747802734
3.12,0.667572021484
3.14,0.667572021484
3.16,1.58309936523
3.18,6.75201416016
3.2,13.1225585938
3.22,25.8827209473
3.24,43.2014465332
3.26,56.8771362305
3.28,68.1114196777
3.3,74.1958618164
3.32,72.6699829102
3.34,70.8389282227
3.36,70.5337524414
3.38,74.1958618164
3.4,76.9233703613
3.42,77.8388977051
3.44,76.3130187988
3.46,73.8906860352
3.48,72.9751586914
3.5,73.5855102539
3.52,73.5855102539
3.54,74.1958618164
3.56,74.1958618164
3.58,75.7026672363
3.6,77.2285461426
3.62,79.0405273438
3.64,80.56640625
3.66,81.4819335938
3.68,83.5990905762
3.7,86.3456726074
3.72,88.4628295898
3.74,91.1903381348
3.76,92.4110412598
3.78,93.3265686035
3.8,93.936920166
3.82,95.4437255859
3.84,96.3592529297
3.86,98.8006591797
3.88,101.222991943
3.9,103.054046631
3.92,103.359222412
3.94,104.560852051
3.96,106.391906738
3.98,107.307434082
4,109.119415283
4.02,111.560821533
4.04,113.372802734
4.06,114.593505859
4.08,116.710662842
4.1,120.067596436
4.12,124.015808105
4.14,126.438140869
4.16,128.574371338
4.18,130.386352539
4.2,133.113861084
4.22,138.893127441
4.24,143.756866455
4.26,148.92578125
4.28,152.263641357
4.3,157.432556152
4.32,159.244537354
4.34,157.127380371
4.36,153.789520264
4.38,149.536132813
4.4,148.010253906
4.42,147.399902344
4.44,145.587921143
4.46,146.789550781
4.48,148.010253906
4.5,149.536132813
4.52,153.484344482
4.54,154.685974121
4.56,155.296325684
4.58,157.127380371
4.6,157.737731934
4.62,157.432556152
4.64,159.244537354
4.66,161.075592041
4.68,160.77041626
4.7,158.634185791
4.72,159.549713135
4.74,161.380767822
4.76,161.075592041
4.78,158.939361572
4.8,155.906677246
4.82,154.685974121
4.84,155.601501465
4.86,156.82220459
4.88,156.517028809
4.9,155.906677246
4.92,151.958465576
4.94,144.97756958
4.96,139.808654785
4.98,138.282775879
5,134.334564209
5.02,131.912231445
5.04,129.470825195
5.06,129.776000977
5.08,127.964019775
5.1,124.626159668
5.12,119.762420654
5.14,116.405487061
5.16,113.983154297
5.18,111.255645752
5.2,109.119415283
5.22,107.612609863
5.24,106.69708252
5.26,106.391906738
5.28,107.002258301
5.3,108.814239502
5.32,109.424591064
5.34,110.340118408
5.36,110.950469971
5.38,111.255645752
5.4,112.152099609
5.42,113.983154297
5.44,116.710662842
5.46,119.762420654
5.48,123.710632324
5.5,124.912261963
5.52,125.827789307
5.54,126.132965088
5.56,125.217437744
5.58,122.79510498
5.6,150.43258667
5.62,134.334564209
5.64,127.658843994
5.66,126.132965088
5.68,132.827758789
5.7,152.87399292
5.72,177.173614502
5.74,200.271606445
5.76,222.129821777
5.78,252.513885498
5.8,285.930633545
5.82,313.873291016
5.84,332.107543945
5.86,339.088439941
5.88,329.685211182
5.9,314.788818359
5.92,290.184020996
5.94,264.358520508
5.96,245.532989502
5.98,225.486755371
6,206.031799316
6.02,190.238952637
6.04,177.173614502
6.06,165.328979492
6.08,154.38079834
6.1,145.874023438
6.12,139.503479004
6.14,132.522583008
6.16,127.658843994
6.18,120.372772217
6.2,111.865997314
6.22,103.054046631
6.24,95.7489013672
6.26,89.9887084961
6.28,86.0404968262
6.3,81.1767578125
6.32,77.8388977051
6.34,75.3974914551
6.36,74.4819641113
6.38,73.8906860352
6.4,68.1114196777
6.42,63.2476806641
6.44,56.8771362305
6.46,51.7082214355
6.48,47.1496582031
6.5,42.5910949707
6.52,38.0325317383
6.54,33.1687927246
6.56,30.4412841797
6.58,25.577545166
6.6,20.4086303711
6.62,15.5448913574
6.64,11.2915039063
6.66,9.47952270508
6.68,6.75201416016
6.7,6.14166259766
6.72,4.92095947266
6.74,3.39508056641
6.76,2.49862670898
6.78,2.19345092773
6.8,1.88827514648
6.82,2.19345092773
6.84,1.58309936523
6.86,1.88827514648
6.88,1.27792358398
6.9,1.58309936523
6.92,0.972747802734
6.94,1.58309936523
6.96,0.972747802734
6.98,2.49862670898
7,4.00543212891
7.02,6.75201416016
7.04,7.64846801758
7.06,8.56399536133
7.08,8.56399536133
7.1,8.25881958008
7.12,6.75201416016
7.14,6.14166259766
7.16,4.92095947266
7.18,3.70025634766
7.2,3.08990478516
7.22,3.08990478516
7.24,7.64846801758
7.26,21.6293334961
7.28,30.4412841797
7.3,45.3186035156
7.32,66.5855407715
7.34,86.6508483887
7.36,102.138519287
7.38,106.391906738
7.4,104.25567627
7.42,96.6644287109
